character	guide_name	genename	initial_library	LB_1	LB_2	BE_1	BE_2	killing_1	killing_2	M9_1	M9_2	MOPS_1	MOPS_2
essential_in_both	b0002_thrA_4_340_333_+	thrA	2397	1897	1424	1781	1948	1244	1511	552	386	635	560
essential_in_both	b0002_thrA_4_340_334_+	thrA	1776	1097	877	966	896	399	355	307	161	377	384
essential_in_both	b0002_thrA_4_340_336_+	thrA	1749	1126	859	896	1003	324	319	96	110	159	223
essential_in_both	b0002_thrA_88_424_420_+	thrA	4039	2761	2554	2404	3028	4258	5706	6052	5202	4402	5963
essential_in_both	b0002_thrA_244_580_575_+	thrA	3596	2918	2256	2451	2708	5185	5855	3305	2839	2688	3159
essential_in_both	b0002_thrA_244_580_576_+	thrA	3165	2333	1988	2471	2859	2132	2740	1616	1759	2378	3339
essential_in_both	b0002_thrA_265_601_594_+	thrA	1418	1104	835	946	995	479	443	107	16	77	18
essential_in_both	b0002_thrA_265_601_597_+	thrA	1378	1033	907	1088	1252	1790	2222	1490	1520	1610	2452
essential_in_both	b0002_thrA_298_634_629_+	thrA	2696	1682	1346	1105	1229	3091	3765	1925	1579	3103	3494
essential_in_both	b0002_thrA_677_1013_998_-	thrA	3276	1652	1260	980	1005	2149	2593	2334	2240	3880	4861
essential_in_both	b0002_thrA_677_1013_999_-	thrA	3479	2775	2226	2393	2564	7716	9740	7692	8061	11795	17332
essential_in_both	b0002_thrA_715_1051_1045_+	thrA	5412	4330	3437	4654	4995	8866	11249	2379	3554	3249	7395
essential_in_both	b0002_thrA_715_1051_1046_+	thrA	3615	2818	2212	3043	3211	2692	2995	737	592	882	1122
essential_in_both	b0002_thrA_823_1159_1153_+	thrA	2040	1512	1041	1323	1354	1039	1453	842	778	1400	1759
essential_in_both	b0002_thrA_1090_1426_1420_+	thrA	2505	1582	1193	1400	1460	1281	1599	1923	1840	3141	4098
essential_in_both	b0002_thrA_1090_1426_1422_+	thrA	1256	921	669	793	841	471	528	460	409	692	813
essential_in_both	b0002_thrA_1105_1441_1436_+	thrA	6854	5190	4132	5347	5702	1156	1304	525	420	475	755
essential_in_both	b0002_thrA_1123_1459_1454_+	thrA	1554	1115	885	1262	1216	764	682	186	96	258	204
essential_in_both	b0002_thrA_1123_1459_1455_+	thrA	1507	1044	936	969	1022	428	535	31	28	48	43
essential_in_both	b0002_thrA_3_339_327_-	thrA	3507	1848	1428	1757	1779	108	119	53	68	101	166
essential_in_both	b0003_thrB_207_3007_2995_-	thrB	2666	232	193	187	170	166	206	14	25	12	33
essential_in_both	b0003_thrB_235_3035_3030_+	thrB	2399	1948	1446	1882	1971	1537	1728	1117	401	547	527
essential_in_both	b0003_thrB_454_3254_3247_+	thrB	788	525	442	460	560	144	137	22	31	31	50
essential_in_both	b0004_thrC_34_3767_3763_+	thrC	2619	1868	1366	1671	1840	378	335	29	22	62	30
essential_in_both	b0004_thrC_49_3782_3775_+	thrC	1511	1049	950	1198	1170	1287	1586	722	445	976	931
essential_in_both	b0004_thrC_49_3782_3776_+	thrC	1128	846	611	875	872	481	483	244	100	333	218
essential_in_both	b0004_thrC_49_3782_3777_+	thrC	854	596	479	649	698	489	574	45	57	56	120
essential_in_both	b0004_thrC_205_3938_3931_+	thrC	4221	1826	1482	1340	1610	2367	3083	3039	3676	2889	5017
essential_in_both	b0004_thrC_205_3938_3933_+	thrC	2640	1953	1607	1781	2121	1336	1606	768	952	1333	2138
essential_in_both	b0004_thrC_346_4079_4075_+	thrC	5533	3486	2633	2554	2561	1593	1723	1198	1088	1875	2452
essential_in_both	b0004_thrC_568_4301_4296_+	thrC	2053	1148	969	920	1000	222	200	25	33	41	64
essential_in_both	b0004_thrC_568_4301_4297_+	thrC	2902	2018	1609	1765	1867	1665	2002	929	1004	1462	2290
essential_in_both	b0004_thrC_583_4316_4309_+	thrC	4129	2741	2118	2197	2328	641	615	253	159	292	315
essential_in_both	b0004_thrC_583_4316_4312_+	thrC	5247	2310	1851	1495	1556	358	329	38	87	53	249
essential_in_both	b0032_carA_40_29690_29683_+	carA	1858	1226	958	1103	1013	2431	2738	384	235	313	372
essential_in_both	b0032_carA_118_29768_29761_+	carA	4141	3170	2591	3283	3572	1555	1939	687	411	306	247
essential_in_both	b0032_carA_220_29870_29863_+	carA	2477	1274	989	984	1083	1494	1755	17	10	1	19
essential_in_both	b0032_carA_220_29870_29864_+	carA	3214	1829	1486	1534	1669	2376	3070	12	15	1	2
essential_in_both	b0032_carA_232_29882_29876_+	carA	1135	946	660	876	864	989	1010	13	6	2	22
essential_in_both	b0032_carA_232_29882_29878_+	carA	2198	1811	1416	1687	1796	1364	1651	160	80	174	113
essential_in_both	b0032_carA_382_30032_30028_+	carA	1450	840	558	532	530	234	248	4	0	0	1
essential_in_both	b0032_carA_509_30159_30144_-	carA	2077	1395	1104	1492	1685	2774	3773	25	27	3	6
essential_in_both	b0032_carA_509_30159_30145_-	carA	2068	1147	862	941	1050	523	588	3	7	1	0
essential_in_both	b0032_carA_509_30159_30147_-	carA	1131	795	629	673	789	854	1221	12	5	12	3
essential_in_both	b0032_carA_514_30164_30159_+	carA	4261	3206	2457	3141	3378	4234	5406	3607	3956	3933	5674
essential_in_both	b0032_carA_524_30174_30160_-	carA	18002	12211	9298	10313	10541	2443	2987	22	12	2	4
essential_in_both	b0033_carB_64_30880_30873_+	carB	1576	1452	1000	1291	1245	1250	1331	769	785	995	1301
essential_in_both	b0033_carB_94_30910_30905_+	carB	3622	2706	2314	3194	3321	605	741	86	124	114	218
essential_in_both	b0033_carB_212_31028_31014_-	carB	2908	2285	1807	2253	2457	2826	3656	43	44	22	34
essential_in_both	b0033_carB_213_31029_31017_-	carB	3323	2501	1833	2431	2670	3057	3472	263	194	287	314
essential_in_both	b0033_carB_277_31093_31087_+	carB	3702	2756	2093	2568	2709	4040	4442	461	185	299	295
essential_in_both	b0033_carB_277_31093_31089_+	carB	4939	3578	2953	3581	3873	4738	5778	221	90	207	140
essential_in_both	b0033_carB_313_31129_31122_+	carB	2565	1131	902	590	629	340	466	2	4	0	0
essential_in_both	b0033_carB_313_31129_31124_+	carB	984	717	585	766	889	481	470	0	2	1	1
essential_in_both	b0033_carB_760_31576_31572_+	carB	8123	5871	4541	5846	5986	2507	2378	22	20	3	9
essential_in_both	b0033_carB_784_31600_31593_+	carB	781	362	253	236	222	35	27	0	0	0	0
essential_in_both	b0033_carB_853_31669_31664_+	carB	2884	2549	1876	2478	2401	2880	3807	1190	1269	1390	1851
essential_in_both	b0033_carB_1129_31945_31938_+	carB	1795	1498	1141	1428	1564	1404	1949	361	1128	288	826
essential_in_both	b0033_carB_1129_31945_31939_+	carB	2168	1198	961	875	961	889	962	3	4	0	0
essential_in_both	b0033_carB_1129_31945_31941_+	carB	1148	952	762	918	1037	1764	2149	67	68	58	133
essential_in_both	b0033_carB_1174_31990_31986_+	carB	5157	3909	3055	4492	4467	2378	2579	35	48	17	63
essential_in_both	b0033_carB_1310_32126_32111_-	carB	3890	2080	1722	1944	2181	1393	1787	34	167	29	98
essential_in_both	b0033_carB_1311_32127_32115_-	carB	5009	2527	2019	2664	2510	518	606	21	11	27	23
essential_in_both	b0033_carB_1382_32198_32186_-	carB	1636	962	775	898	888	361	495	42	1	5	2
essential_in_both	b0033_carB_1383_32199_32187_-	carB	1612	1046	938	903	1030	337	478	198	182	237	457
essential_in_both	b0033_carB_1393_32209_32202_+	carB	532	181	137	126	82	2	2	0	0	0	0
essential_in_both	b0033_carB_1393_32209_32204_+	carB	575	238	213	168	169	2	8	0	0	0	0
essential_in_both	b0033_carB_1471_32287_32280_+	carB	2195	1376	1032	1045	1069	656	673	9	8	5	20
essential_in_both	b0033_carB_1471_32287_32281_+	carB	2080	1125	885	860	843	670	818	9	4	8	6
essential_in_both	b0033_carB_1555_32371_32366_+	carB	1520	965	724	843	783	535	571	1	54	1	95
essential_in_both	b0033_carB_1555_32371_32367_+	carB	1178	586	432	488	463	238	300	8	9	0	0
essential_in_both	b0033_carB_3_30819_30804_-	carB	1477	1189	902	886	1012	1069	1417	155	280	218	516
non-essential	b0039_caiA_25_40362_40350_-	caiA	1704	1213	954	1148	1248	559	616	26	4	59	4
non-essential	b0039_caiA_25_40362_40347_-	caiA	2052	1755	1237	1599	1501	1502	1550	1655	211	539	392
non-essential	b0039_caiA_221_40166_40159_+	caiA	2422	1710	1471	1392	1504	3376	4386	6331	7902	3802	6230
non-essential	b0039_caiA_313_40074_40060_-	caiA	1003	820	625	775	755	901	1025	329	231	463	355
non-essential	b0039_caiA_313_40074_40059_-	caiA	1013	621	489	472	567	147	135	18	2	14	0
non-essential	b0039_caiA_352_40035_40023_-	caiA	1092	488	420	386	420	192	258	38	6	82	9
non-essential	b0039_caiA_352_40035_40021_-	caiA	849	618	534	600	730	568	779	308	1612	340	774
non-essential	b0039_caiA_359_40028_40023_+	caiA	2988	1696	1277	1403	1463	373	486	63	109	82	78
non-essential	b0039_caiA_359_40028_40021_+	caiA	1121	450	326	325	301	170	208	20	29	16	71
non-essential	b0039_caiA_360_40027_40020_+	caiA	437	215	201	192	217	181	216	225	143	310	267
non-essential	b0039_caiA_548_39839_39833_+	caiA	1927	1083	899	953	1161	2050	2886	2116	4678	1944	2720
non-essential	b0039_caiA_548_39839_39832_+	caiA	1387	661	534	426	456	875	1201	2052	4146	893	1150
non-essential	b0039_caiA_3_40384_40378_+	caiA	3117	2376	1872	2643	2916	2830	3984	6035	5726	1263	1424
essential_in_both	b0052_pdxA_70_53347_53335_-	pdxA	1264	669	501	456	411	55	33	16	23	25	50
essential_in_both	b0052_pdxA_70_53347_53333_-	pdxA	1378	995	758	1144	1010	1823	1868	44	44	8	12
essential_in_both	b0052_pdxA_79_53338_53326_-	pdxA	1603	1139	904	889	944	152	153	53	12	60	32
essential_in_both	b0052_pdxA_79_53338_53323_-	pdxA	765	706	482	606	644	234	219	40	17	32	63
essential_in_both	b0052_pdxA_89_53328_53322_+	pdxA	3480	1828	1444	1345	1237	262	268	5	3	2	0
essential_in_both	b0052_pdxA_196_53221_53209_-	pdxA	3093	2076	1584	2074	2037	361	424	138	75	66	97
essential_in_both	b0052_pdxA_196_53221_53208_-	pdxA	2622	1880	1461	1589	1646	320	341	5	4	13	6
essential_in_both	b0052_pdxA_262_53155_53140_-	pdxA	1511	956	731	727	755	182	194	108	53	173	126
essential_in_both	b0052_pdxA_307_53110_53097_-	pdxA	5362	4125	3388	3436	3944	2238	2785	2020	878	706	789
non-essential	b0070_setA_94_77714_77708_+	setA	10951	7582	5711	9509	9377	2152	2331	830	599	755	1097
non-essential	b0070_setA_139_77759_77752_+	setA	2779	2009	1622	2099	2268	451	585	325	250	287	430
non-essential	b0070_setA_139_77759_77753_+	setA	3631	2797	2155	2518	2635	1159	1266	2446	231	567	463
non-essential	b0070_setA_150_77770_77758_-	setA	3595	2862	2073	2753	2748	1742	2026	561	278	413	427
non-essential	b0070_setA_204_77824_77812_-	setA	2214	1728	1186	1585	1629	1159	1294	1340	1727	605	1348
non-essential	b0070_setA_367_77987_77980_+	setA	1260	483	327	347	280	87	122	57	584	96	261
non-essential	b0070_setA_367_77987_77982_+	setA	1873	638	429	445	456	318	400	2330	632	651	703
non-essential	b0070_setA_445_78065_78059_+	setA	4615	2473	1740	1797	1677	146	141	61	18	46	32
