"guides"	"type"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"b0907_serC_86_957738_957725_-"	"essential_in_both"	-10.4747719248813	9.47246305399705	3163.87309881803	8.05540474921823e-11	3.19155136164026e-07
"b0032_carA_220_29870_29864_+"	"essential_in_both"	-11.2493668016617	8.46133666121106	1828.99749642606	5.81052118471044e-10	1.15106424669114e-06
"b2507_guaA_623_2631913_2631908_+"	"essential_in_both"	-6.26790712923762	9.78745771231782	1564.31547653145	1.02027859843587e-09	1.34744793566764e-06
"b0032_carA_509_30159_30144_-"	"essential_in_both"	-10.046220215952	8.26719584129639	1259.54317722343	2.22535126371433e-09	2.20421042670905e-06
"b0033_carB_212_31028_31014_-"	"essential_in_both"	-7.44075391271453	8.74587752039536	1103.47269841989	3.58072727108642e-09	2.70883757238619e-06
"b1922_fliA_100_2001690_2001678_-"	"non-essential"	-5.14616566415942	9.39787357532242	992.931887395828	5.23225068301747e-09	2.70883757238619e-06
"b3870_glnA_173_4057862_4057857_+"	"essential_in_both"	-10.1110261820085	8.69813745599776	990.091250397472	5.28637233219406e-09	2.70883757238619e-06
"b0149_mrcB_301_165030_165023_+"	"non-essential"	-5.60979802277161	10.1342710472686	963.197630825839	5.8359599684097e-09	2.70883757238619e-06
"b0522_purK_3_552592_552586_+"	"essential_in_both"	-8.96377640443089	7.78941442452184	944.628919152482	6.2585156473354e-09	2.70883757238619e-06
"b2320_pdxB_227_2437625_2437619_+"	"essential_in_m9"	-6.05239411513842	8.57879506691058	921.652219761832	6.83704586669911e-09	2.70883757238619e-06
"b1812_pabB_551_1895355_1895343_-"	"essential_in_m9"	-7.62463784192072	7.96335927523171	833.503693054453	9.80747729532034e-09	3.5165326146544e-06
"b1261_trpB_530_1317886_1317881_+"	"essential_in_both"	-5.07558352756579	8.73247290314497	814.555989048831	1.0650780256399e-08	3.5165326146544e-06
"b3459_panZ_58_3598041_3598036_+"	"essential_in_m9"	-9.36472334086774	8.23158530353803	763.105521966714	1.34584346627326e-08	3.6410386414084e-06
"b2574_nadB_94_2710513_2710507_+"	"essential_in_m9"	-4.7591397052087	9.14858970566566	761.787433370475	1.35421034021926e-08	3.6410386414084e-06
"b2507_guaA_623_2631913_2631907_+"	"essential_in_both"	-5.43225271688034	8.79115877227147	758.021362323557	1.37848509896835e-08	3.6410386414084e-06
"b0109_nadC_218_118428_118423_+"	"essential_in_m9"	-6.46501005952947	7.50673694133952	692.675676505471	1.90413508322541e-08	4.71511449983692e-06
"b0778_bioD_265_812534_812530_+"	"essential_in_both"	-6.79339002076291	8.03620199734532	678.570248781372	2.0497456113699e-08	4.77711300720444e-06
"b0777_bioC_164_811685_811670_-"	"essential_in_both"	-5.28492261827242	8.65569456032748	647.175430236644	2.42862331833912e-08	4.86626820308363e-06
"b2557_purL_1786_2693758_2693744_-"	"essential_in_both"	-8.1039911099298	7.5588517608404	639.197557773868	2.53888024219692e-08	4.86626820308363e-06
"b0052_pdxA_70_53347_53333_-"	"essential_in_both"	-8.11407501147464	7.66265261016255	639.038319865308	2.54114534195845e-08	4.86626820308363e-06
"b0033_carB_760_31576_31572_+"	"essential_in_both"	-9.26673117161842	9.9217364563579	684.061335947408	2.609920348752e-08	4.86626820308363e-06
"b0033_carB_1129_31945_31939_+"	"essential_in_both"	-12.8371821160564	7.67132932189419	1141.0328432167	2.70211762917314e-08	4.86626820308363e-06
"b0908_aroA_460_959271_959267_+"	"essential_in_both"	-7.97084130138819	7.20485991868243	615.66539728567	2.90360625181611e-08	5.00177737812844e-06
"b4005_purD_637_4205295_4205283_-"	"essential_in_both"	-8.23609868118719	6.60042634348756	581.475959051736	3.56195087552993e-08	5.88018723702065e-06
