"guides"	"type"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"b2785_rlmD_25_2914976_2914963_-"	"non-essential"	-3.76382965107534	7.03554171017035	122.33129588193	8.63113608328791e-06	0.0102385818595439
"random301"	"NT"	-3.05851486872841	7.84227937829625	116.017993608857	1.03517399369042e-05	0.0102385818595439
"b0777_bioC_3_811524_811509_-"	"essential_in_both"	-3.07209209771382	7.27347208189224	114.584482018499	1.08020405532656e-05	0.0102385818595439
"b2834_tas_398_2971994_2971981_-"	"non-essential"	-3.86702323499284	6.93490812579398	105.878776183712	1.4149663743229e-05	0.0102385818595439
"b3144_yraJ_478_3289291_3289287_+"	"non-essential"	-4.00242535402837	5.50941906209862	105.349730162042	1.43933256385228e-05	0.0102385818595439
"b1107_nagZ_205_1164299_1164292_+"	"non-essential"	-2.60736576271624	6.79437280007829	103.073056001757	1.55051719225804e-05	0.0102385818595439
"b0978_appC_3_1037742_1037728_-"	"non-essential"	-3.8701043795117	7.12243838156925	96.5421689081722	1.99790012667678e-05	0.0113081147169906
"b2834_tas_388_2971984_2971979_+"	"non-essential"	-3.46343902278164	4.78313253136464	88.0914602029343	2.63958533921084e-05	0.013039714461958
"b3771_ilvD_65_3953542_3953527_-"	"essential_in_both"	-3.51074563660453	6.66209393594816	85.1262355782912	2.96207547091423e-05	0.013039714461958
"b2574_nadB_287_2710706_2710693_-"	"essential_in_m9"	-2.87212713313647	6.71492035664023	74.1007884873718	4.71129913457194e-05	0.0185655558681836
"b0003_thrB_207_3007_2995_-"	"essential_in_both"	-3.14081411668995	6.57319971466681	72.1237636612029	5.15449557168145e-05	0.0185655558681836
"b2763_cysI_493_2889607_2889593_-"	"essential_in_both"	-3.34914447685487	6.85664319952371	62.3284141182755	8.53642380236564e-05	0.0250307676345514
"b0776_bioF_259_810639_810632_+"	"essential_in_both"	-4.07610567759751	6.61286515131164	118.743591506679	8.57713021740756e-05	0.0250307676345514
"b1497_ydeM_173_1580618_1580612_+"	"non-essential"	-1.62483559080939	8.35882416019406	61.2315479864601	8.84479421715598e-05	0.0250307676345514
"b2020_hisD_334_2091430_2091424_+"	"essential_in_both"	-1.9072866524531	7.92109271452529	59.5770693455765	9.67355647231478e-05	0.0255510871622074
"b2204_napH_94_2299485_2299472_-"	"non-essential"	-2.28064088702435	6.687690356802	53.8229560820959	0.000134560513871464	0.0316922399644284
"b0446_cof_329_467740_467726_-"	"non-essential"	-1.05089600715511	9.24078664328325	53.6480128438928	0.000135983866581343	0.0316922399644284
"b1978_yeeJ_43_2044980_2044976_+"	"non-essential"	-1.61869649989772	8.2115995916078	51.4604173761229	0.000155519227848596	0.033160594522433
"b0585_fes_230_612966_612954_-"	"essential_in_m9"	-2.24738833479069	7.13713256163414	51.1050803556673	0.00015902354768456	0.033160594522433
"b2764_cysJ_49_2891850_2891835_-"	"essential_in_both"	-3.39723219985677	6.47899628130213	89.8945686232924	0.000172299809054165	0.0341325921736301
"b0128_yadH_76_143777_143773_+"	"non-essential"	-2.94116473208056	6.84219176431337	86.3682393167494	0.000190343475807788	0.0359114691024026
"b0494_tesA_170_519596_519591_+"	"non-essential"	-2.59141140804823	8.58753905201279	47.6921279336322	0.000217825682556833	0.0392284251950078
"b2827_thyA_248_2964908_2964901_+"	"essential_in_both"	-3.10933234250295	6.56765994164067	63.9978622624915	0.000398688132365857	0.068678364366675
"b0128_yadH_178_143879_143872_+"	"non-essential"	-3.06278157965565	5.7477137076514	46.4599098502095	0.000416185300197324	0.0687052566409082
"b1392_paaE_82_1456511_1456504_+"	"non-essential"	-1.40510612845773	7.63908269006676	36.8048554615947	0.000447506267345273	0.0692711634658918
"b1988_nac_235_2061699_2061684_-"	"non-essential"	-2.10604752413952	8.09283268104048	37.2660420859976	0.000454581082815039	0.0692711634658918
"b1139_lit_215_1198909_1198897_-"	"non-essential"	-1.19603772402512	7.87930459538351	34.3354345615924	0.000553794423726929	0.0812642039557812
"b0732_mngB_45_768022_768010_-"	"non-essential"	-1.2326100834559	7.61792117572769	33.0464543389884	0.000622189153888551	0.0870059135989281
"b2901_bglA_313_3043974_3043967_+"	"non-essential"	-1.5849739053448	6.45148618772718	32.7937422114691	0.000636842880961361	0.0870059135989281
"b4474_frlC_371_3502710_3502698_-"	"non-essential"	-1.94227394813297	9.92665526708529	32.8809552849969	0.000679858293520617	0.0897866186309562
"b3816_corA_364_4001789_4001782_+"	"non-essential"	-1.19569327870147	7.98012640738994	31.7002688167553	0.000705579794947158	0.0901776499219562
"b2750_cysC_95_2873898_2873892_+"	"essential_in_m9"	-3.42567005761545	6.57560174510049	31.2812530358126	0.000788389666730988	0.0976124956121304
"b1048_opgG_576_1109910_1109898_-"	"non-essential"	-1.4745192224247	7.67504001293609	29.9456358739131	0.000837014205476278	0.0980479574329795
"b3801_aslA_3_3986005_3985999_+"	"non-essential"	-1.22620953530944	8.54172801862261	29.8932443832774	0.000841400947178522	0.0980479574329795
