"guides"	"type"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"b0907_serC_86_957738_957725_-"	"essential_in_both"	-7.55013643618945	9.47246305399705	2274.08740315195	2.65040091339252e-10	1.05008884188612e-06
"b2507_guaA_623_2631913_2631908_+"	"essential_in_both"	-6.77381168588261	9.78745771231782	1745.71628531887	6.87263317320434e-10	1.36146863161178e-06
"b0032_carA_220_29870_29864_+"	"essential_in_both"	-8.5506154552735	8.46133666121106	1526.08605536507	1.11533322048209e-09	1.47298340651668e-06
"b0149_mrcB_301_165030_165023_+"	"non-essential"	-6.519859414037	10.1342710472686	1182.87697526538	2.78921301540499e-09	2.63572406208457e-06
"b0033_carB_212_31028_31014_-"	"essential_in_both"	-7.11100183996425	8.74587752039536	1055.47261578442	4.20130636644861e-09	2.63572406208457e-06
"b0032_carA_509_30159_30144_-"	"essential_in_both"	-7.86472939301482	8.26719584129639	1009.24311734698	4.93479684666766e-09	2.63572406208457e-06
"b1261_trpB_530_1317886_1317881_+"	"essential_in_both"	-5.86044670601858	8.73247290314497	1005.94880666865	4.99309745958969e-09	2.63572406208457e-06
"b1922_fliA_100_2001690_2001678_-"	"non-essential"	-5.09988736331191	9.39787357532242	983.38311773683	5.41704563413435e-09	2.63572406208457e-06
"b2507_guaA_623_2631913_2631907_+"	"essential_in_both"	-6.44819237494372	8.79115877227147	956.357172924138	5.98725809156011e-09	2.63572406208457e-06
"b2320_pdxB_227_2437625_2437619_+"	"essential_in_m9"	-5.71968573394783	8.57879506691058	859.633321909857	8.7792644281888e-09	3.43730169207438e-06
"b1812_pabB_551_1895355_1895343_-"	"essential_in_m9"	-7.29163144441719	7.96335927523171	839.873194453444	9.54324043735947e-09	3.43730169207438e-06
"b3870_glnA_173_4057862_4057857_+"	"essential_in_both"	-7.45320367812146	8.69813745599776	760.017242582575	1.36555180716342e-08	4.31853711927089e-06
"b0522_purK_3_552592_552586_+"	"essential_in_both"	-6.83211273394587	7.78941442452184	747.189851880279	1.4514680113632e-08	4.31853711927089e-06
"b2574_nadB_94_2710513_2710507_+"	"essential_in_m9"	-4.56843082480641	9.14858970566566	717.005872097771	1.68261898136974e-08	4.31853711927089e-06
"b0777_bioC_344_811865_811851_-"	"essential_in_both"	-4.36718748770746	8.62623477959219	704.662041801706	1.79063340482565e-08	4.31853711927089e-06
"b3459_panZ_58_3598041_3598036_+"	"essential_in_m9"	-7.55487984698744	8.23158530353803	688.697611706366	1.94382557953829e-08	4.31853711927089e-06
"b3939_metB_13_4128684_4128679_+"	"essential_in_both"	-4.83500967304899	8.99350745324735	684.466890544313	1.98720334341548e-08	4.31853711927089e-06
"b0908_aroA_460_959271_959267_+"	"essential_in_both"	-8.56009666337325	7.20485991868243	674.422757234564	2.09524680985879e-08	4.31853711927089e-06
"b3389_aroB_475_3518012_3517998_-"	"essential_in_both"	-4.660759190112	8.07924048123557	670.015520440216	2.14502046530294e-08	4.31853711927089e-06
"b0776_bioF_505_810885_810881_+"	"essential_in_both"	-5.55079106806282	7.97008034869883	666.997464955805	2.17997835399843e-08	4.31853711927089e-06
"b0776_bioF_185_810565_810552_-"	"essential_in_both"	-4.742993384651	9.41141432467402	621.886903196633	2.80100364793339e-08	5.00583238824689e-06
"b2557_purL_1786_2693758_2693744_-"	"essential_in_both"	-7.30524306173004	7.5588517608404	611.60658194573	2.97313795059703e-08	5.00583238824689e-06
"b0907_serC_70_957722_957716_+"	"essential_in_both"	-4.32364380782383	9.07993777853864	605.91340860497	3.07429168604825e-08	5.00583238824689e-06
"b0778_bioD_265_812534_812530_+"	"essential_in_both"	-6.07731211410065	8.03620199734532	604.348692840083	3.10285998601459e-08	5.00583238824689e-06
"b0775_bioB_82_809425_809420_+"	"essential_in_both"	-6.7024427036542	7.98588873958969	601.345257670454	3.15865244084231e-08	5.00583238824689e-06
"b0109_nadC_218_118428_118423_+"	"essential_in_m9"	-5.64788909906466	7.50673694133952	590.037134965771	3.38056488081601e-08	5.12593720715853e-06
"b0777_bioC_164_811685_811670_-"	"essential_in_both"	-4.91466763257877	8.65569456032748	584.654344598202	3.49319294783646e-08	5.12593720715853e-06
"b0033_carB_1129_31945_31939_+"	"essential_in_both"	-8.89087109912408	7.67132932189419	1010.36739841421	3.93925900782396e-08	5.45043848395616e-06
"b0774_bioA_494_808764_808757_+"	"essential_in_m9"	-3.01656903651804	9.22417495580791	557.727163823933	4.13454928622436e-08	5.45043848395616e-06
"b0033_carB_760_31576_31572_+"	"essential_in_both"	-7.77251544200316	9.9217364563579	596.418232469729	4.22174944393394e-08	5.45043848395616e-06
"b4005_purD_637_4205295_4205283_-"	"essential_in_both"	-7.41565737707742	6.60042634348756	552.9147623571	4.26460355887534e-08	5.45043848395616e-06
"b4388_serB_119_4625013_4625001_-"	"essential_in_both"	-3.67362938161583	9.06043695278193	518.515061659336	5.36456412025347e-08	6.09868940429188e-06
"b2901_bglA_561_3044222_3044210_-"	"non-essential"	-5.27566234556173	8.3926379217683	517.697036760477	5.39489490408442e-08	6.09868940429188e-06
"b2600_tyrA_370_2739700_2739688_-"	"essential_in_both"	-4.15583233645992	9.08358982348003	514.168086950967	5.5282794276967e-08	6.09868940429188e-06
"b2416_ptsI_508_2534573_2534568_+"	"essential_in_m9"	-4.10823980062641	8.48520461077785	513.683676315164	5.54691605391846e-08	6.09868940429188e-06
"b3939_metB_13_4128684_4128677_+"	"essential_in_both"	-6.81966144423603	9.73065739291669	550.521738262568	5.58911851887974e-08	6.09868940429188e-06
"b0934_ssuC_76_994757_994745_-"	"non-essential"	-6.6960980116532	8.46004776209908	504.965495252806	5.89647116159189e-08	6.09868940429188e-06
"b2364_dsdC_295_2477335_2477321_-"	"non-essential"	-4.14092246963962	7.98747688349216	503.657397046444	5.95132119218789e-08	6.09868940429188e-06
"b1262_trpC_445_1319344_1319332_-"	"essential_in_both"	-4.36329593515628	7.74270046975159	502.43299948833	6.00325307338171e-08	6.09868940429188e-06
"b1494_pqqL_169_1575034_1575020_-"	"non-essential"	-6.44717687686996	7.5491310010925	490.894731866357	6.52224419268822e-08	6.46028287285768e-06
"b0774_bioA_535_808723_808710_-"	"essential_in_m9"	-3.68321044706466	9.08139238461052	483.959128807336	6.86194136300919e-08	6.63097845859571e-06
"b0052_pdxA_70_53347_53333_-"	"essential_in_both"	-6.29899560508921	7.66265261016255	479.987066086029	7.06668964897927e-08	6.65687389898184e-06
"b2557_purL_914_2694630_2694626_+"	"essential_in_both"	-4.72032783316321	8.10958899725544	474.503007270972	7.36237756791059e-08	6.65687389898184e-06
