"guides"	"type"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"b3738_atpB_332_3921720_3921715_+"	"essential_in_mops"	-6.98835650005484	8.93528516164262	1392.4144946238	1.55130288919545e-09	6.14626204699238e-06
"b3878_yihQ_354_4068923_4068916_+"	"non-essential"	-4.66318443899219	10.3201445548009	804.65286412643	1.1128470829972e-08	9.11501032389167e-06
"b4484_cpxP_208_4106027_4106020_+"	"non-essential"	-4.88346815967941	8.98664379530071	801.461201770412	1.12882338548308e-08	9.11501032389167e-06
"b2507_guaA_623_2631913_2631908_+"	"essential_in_both"	-3.73067824116657	9.78745771231782	786.4080348725	1.20824924609129e-08	9.11501032389167e-06
"b1929_yedE_151_2008427_2008423_+"	"non-essential"	-3.12051231098975	10.5861786863292	759.351141089313	1.36985085110681e-08	9.11501032389167e-06
"b3816_corA_61_4001486_4001479_+"	"non-essential"	-5.16140779172254	9.13166560793672	757.733241491666	1.38036501623801e-08	9.11501032389167e-06
"b0002_thrA_3_339_327_-"	"essential_in_both"	-5.29231409641367	8.27299693330993	684.59418932875	1.9858802137857e-08	1.1240082010027e-05
"b0820_ybiT_736_856698_856693_+"	"non-essential"	-3.49689078258841	9.64910347101749	652.713172599673	2.35566563570602e-08	1.16395399454037e-05
"b3693_dgoK_88_3874387_3874375_-"	"non-essential"	-5.48439337670893	7.83260060780307	631.99186633867	2.6440146266692e-08	1.16395399454037e-05
"b4078_yjcO_262_4296864_4296849_-"	"non-essential"	-5.19234655137024	8.27896475283	577.807772592868	3.64346744055269e-08	1.44354179994698e-05
"b3906_rhaR_373_4099018_4099014_+"	"non-essential"	-3.47363598111322	10.2181425837378	555.367638327511	4.19767263691233e-08	1.51192536249515e-05
"b0716_ybgO_124_748859_748844_-"	"non-essential"	-3.66303501411604	9.17570624445292	532.883808473799	4.86560039093022e-08	1.59752665050455e-05
"b0149_mrcB_301_165030_165023_+"	"non-essential"	-3.6639101183555	10.1342710472686	521.888524851726	5.24175831816233e-08	1.59752665050455e-05
"b2551_glyA_226_2685282_2685267_-"	"essential_in_both"	-4.45618626707398	7.49239376920951	493.445388461465	6.40272959569855e-08	1.79303860178165e-05
"b3468_yhhN_38_3605788_3605773_-"	"non-essential"	-4.21127550741379	8.37080125403953	485.423227063937	6.78838440856253e-08	1.79303860178165e-05
"b3063_ttdT_213_3208236_3208224_-"	"non-essential"	-4.39454184535807	8.04226980697104	467.442244507936	7.76675638384587e-08	1.85834977986704e-05
"b0209_yafD_289_231410_231405_+"	"non-essential"	-3.58406335635636	9.05265082232487	461.961057798612	8.10039414086546e-08	1.85834977986704e-05
"b3731_atpC_43_3915930_3915915_-"	"essential_in_mops"	-4.75023647629318	8.04229879093084	456.627944605069	8.4427804234242e-08	1.85834977986704e-05
"b2551_glyA_49_2685459_2685447_-"	"essential_in_both"	-4.42772346147662	8.24885403902536	435.471004908461	9.99796479350661e-08	1.94822426908776e-05
"b0033_carB_94_30910_30905_+"	"essential_in_both"	-3.61480732630153	8.89552173969259	430.514670812084	1.04140784861075e-07	1.94822426908776e-05
"b1136_icd_3_1195125_1195110_-"	"essential_in_mops"	-4.24861076399253	7.74467307005938	423.948646811398	1.10000200205214e-07	1.94822426908776e-05
"b2530_iscS_547_2660985_2660971_-"	"essential_in_both"	-5.21626263906848	7.86054142215277	415.757625729705	1.17913399542642e-07	1.94822426908776e-05
"b0585_fes_196_612932_612928_+"	"essential_in_m9"	-2.21922441813737	9.87834223013478	414.611900131775	1.19077516258376e-07	1.94822426908776e-05
"b3828_metR_262_4012555_4012540_-"	"essential_in_both"	-2.59984773677291	9.80026921129525	405.904208289908	1.28422528176525e-07	1.94822426908776e-05
"b2507_guaA_334_2632202_2632187_-"	"essential_in_both"	-5.4565853782384	7.71083755906054	402.749261107816	1.32038522571475e-07	1.94822426908776e-05
"b3896_yiiG_112_4087113_4087106_+"	"non-essential"	-4.68427136779006	7.02874893250057	399.394756672548	1.36027057776053e-07	1.94822426908776e-05
"b1275_cysB_172_1334026_1334020_+"	"essential_in_both"	-2.89354765710024	9.17101255612693	398.601293372533	1.3699290667435e-07	1.94822426908776e-05
"b3247_rng_295_3397501_3397486_-"	"non-essential"	-3.08269059004864	9.13520547170478	397.449166936563	1.38410982972738e-07	1.94822426908776e-05
"b3772_ilvA_445_3955775_3955770_+"	"essential_in_both"	-4.04053919023609	8.58656110501871	392.535767382261	1.44673286666854e-07	1.94822426908776e-05
"b0242_proB_244_260631_260627_+"	"essential_in_both"	-4.76331655966189	7.99950396641681	384.789243263288	1.5530069273033e-07	1.94822426908776e-05
"b4290_fecB_242_4514067_4514060_+"	"non-essential"	-2.84073243327703	8.98560458140983	384.618243677642	1.55546344534182e-07	1.94822426908776e-05
"b3771_ilvD_547_3954024_3954017_+"	"essential_in_both"	-4.39634695647925	7.84858106232827	383.371263695059	1.57352793061101e-07	1.94822426908776e-05
"b3086_ygjQ_331_3236870_3236866_+"	"non-essential"	-3.90535590247989	8.72701691484806	371.334700544979	1.76246452696369e-07	2.1160255926758e-05
"b2961_mutY_508_3103520_3103513_+"	"non-essential"	-4.67624526417042	9.09192056214803	372.069773629396	1.85108926837268e-07	2.15706343567428e-05
"b3460_livJ_484_3599175_3599163_-"	"non-essential"	-4.25669082675489	7.70332393029761	356.88790611581	2.02928226554331e-07	2.29497735979946e-05
"b3940_metL_1033_4130867_4130860_+"	"essential_in_both"	-5.151192346985	8.58614649653273	353.497709519154	2.09923894980545e-07	2.29497735979946e-05
"b2232_ubiG_80_2339646_2339634_-"	"essential_in_mops"	-6.06461762351353	7.76289589793842	352.870655125531	2.14321459648107e-07	2.29497735979946e-05
"b4135_yjdC_229_4363080_4363067_-"	"non-essential"	-5.50773689168445	6.9623791269577	348.680507128781	2.20402869956822e-07	2.29798992307613e-05
"b2095_gatZ_145_2176177_2176162_-"	"non-essential"	-4.43937921908553	7.60842814625881	344.745831111677	2.29462079520894e-07	2.3310993822097e-05
"b2442_intZ_360_2559217_2559205_-"	"non-essential"	-2.02477786939677	10.2557241465965	338.955749778878	2.43676431247758e-07	2.37042979339342e-05
"b1162_bluR_223_1213837_1213825_-"	"non-essential"	-2.30058261106121	9.26287074924365	338.002538372533	2.4612326299642e-07	2.37042979339342e-05
"b3096_mzrA_38_3248476_3248461_-"	"non-essential"	-2.27912695937076	9.75894421707957	336.031801093504	2.51282310253719e-07	2.37042979339342e-05
"b2416_ptsI_331_2534396_2534392_+"	"essential_in_m9"	-5.04876530805688	8.47470486896273	333.35306607473	2.5851829092738e-07	2.38197550849832e-05
"b2834_tas_216_2971812_2971800_-"	"non-essential"	-3.9456855222268	7.95599657857822	326.44934360601	2.78432892666732e-07	2.50716163805817e-05
"b0700_rhsC_563_730145_730130_-"	"non-essential"	-3.65157166062916	8.58913913200485	318.228358098704	3.04777413067998e-07	2.53811965891796e-05
"b2600_tyrA_370_2739700_2739688_-"	"essential_in_both"	-3.05079604159688	9.08358982348003	316.355149687665	3.11220348951062e-07	2.53811965891796e-05
"b3774_ilvC_355_3958324_3958320_+"	"essential_in_both"	-3.59366021772582	8.03803263443051	316.294579040752	3.11431571293671e-07	2.53811965891796e-05
"b2827_thyA_3_2965153_2965149_+"	"essential_in_both"	-9.96577299962696	8.97623620677956	1042.71775438052	3.18423858566175e-07	2.53811965891796e-05
"b4135_yjdC_196_4363113_4363101_-"	"non-essential"	-2.69121757217467	9.28634617017326	313.442710433266	3.21587227543528e-07	2.53811965891796e-05
"b0386_proC_3_405642_405638_+"	"essential_in_both"	-3.68604176187308	7.27468870174278	312.92121935607	3.23489792556347e-07	2.53811965891796e-05
"b1972_msrQ_208_2040690_2040684_+"	"non-essential"	-4.10313756013442	7.98900297002348	312.04633606742	3.26714039891004e-07	2.53811965891796e-05
"b3468_yhhN_311_3606061_3606049_-"	"non-essential"	-5.93195504237887	5.29426052881755	309.840667391059	3.35026732946717e-07	2.55264599218249e-05
"b3956_ppc_550_4152549_4152537_-"	"essential_in_both"	-2.52131542119822	9.14879510542748	300.975541102659	3.71293612516853e-07	2.74339567077843e-05
"b4174_hflK_31_4402068_4402064_+"	"non-essential"	-4.29015321250039	7.9335831535073	299.58165469272	3.77444362648906e-07	2.74339567077843e-05
"b3829_metE_1034_4014086_4014074_-"	"essential_in_both"	-3.310521809686	8.43933935326621	298.825641935764	3.80834835670908e-07	2.74339567077843e-05
"b1048_opgG_181_1109515_1109511_+"	"non-essential"	-3.53509115513441	7.93642523973616	294.827495279044	3.99426516966392e-07	2.82319070849996e-05
"b0153_fhuB_115_171576_171572_+"	"non-essential"	-2.76015176416892	8.93824325156898	293.344676007724	4.06615603780242e-07	2.82319070849996e-05
"b2901_bglA_561_3044222_3044210_-"	"non-essential"	-3.42167081146058	8.3926379217683	291.997892207268	4.1328889725643e-07	2.82319070849996e-05
"b0243_proA_31_261533_261529_+"	"essential_in_both"	-3.79174103381969	8.49676059661875	289.20575010734	4.27575475134228e-07	2.87127802115562e-05
"b2530_iscS_337_2661195_2661183_-"	"essential_in_both"	-3.93134306245687	8.55415155738534	283.902105782259	4.56494295834097e-07	2.97563107450404e-05
"b0153_fhuB_517_171978_171972_+"	"non-essential"	-2.75573100104705	8.80670437124439	283.613947742845	4.58136031157865e-07	2.97563107450404e-05
"b2507_guaA_623_2631913_2631907_+"	"essential_in_both"	-2.83895499647445	8.79115877227147	281.52617855633	4.70258784141403e-07	2.98128791600263e-05
"b0606_ahpF_25_639777_639773_+"	"non-essential"	-2.65237358585664	8.69943008430555	280.886250878287	4.74056382403246e-07	2.98128791600263e-05
"b3079_ygjJ_421_3228221_3228217_+"	"non-essential"	-1.8021265790608	10.8396113823991	276.945127107281	4.98328672453328e-07	3.08496593790638e-05
"b2507_guaA_535_2632001_2631987_-"	"essential_in_both"	-2.97436298765707	8.0796711979519	274.022453207739	5.17360709896426e-07	3.10870430540696e-05
"b0878_macA_109_919343_919337_+"	"non-essential"	-3.57535638225061	7.63819448440474	273.948256722148	5.17855840880513e-07	3.10870430540696e-05
"b1321_ycjX_455_1384571_1384556_-"	"non-essential"	-2.66999841303341	8.34197704334824	271.042107635265	5.37734432948628e-07	3.17985645274995e-05
"b3999_yjaG_112_4199615_4199611_+"	"non-essential"	-3.53781116074806	9.63216710992695	276.125115277138	5.68707837526897e-07	3.24169939316911e-05
"b2020_hisD_562_2091658_2091654_+"	"essential_in_both"	-3.80299820918824	8.69101565564703	266.52817012197	5.70584656288282e-07	3.24169939316911e-05
"b2024_hisA_325_2095449_2095442_+"	"essential_in_both"	-6.07249465594733	7.70935504577753	275.270574328474	5.72738408687121e-07	3.24169939316911e-05
"b4073_nrfD_304_4290779_4290774_+"	"non-essential"	-3.48844461287127	7.2915682502296	261.9625951595	6.06462341565155e-07	3.28382527047329e-05
"b2913_serA_178_3058233_3058219_-"	"essential_in_both"	-3.21022239095308	9.12110904085681	261.424959954361	6.10874690168331e-07	3.28382527047329e-05
"b2292_yfbS_245_2411108_2411104_+"	"non-essential"	-3.0591030557478	9.30412742318676	261.381553582991	6.11232709714447e-07	3.28382527047329e-05
"b2024_hisA_100_2095224_2095220_+"	"essential_in_both"	-2.16495683667114	9.0023776487927	261.127402906805	6.13334351375627e-07	3.28382527047329e-05
"b2555_qseG_187_2689320_2689308_-"	"non-essential"	-3.14478444250989	8.8883512478865	260.132908175801	6.21647323219322e-07	3.28395559279327e-05
"b3731_atpC_73_3915900_3915888_-"	"essential_in_mops"	-2.35284796710192	10.2210749588617	258.470243760775	6.3586952167319e-07	3.30719955907369e-05
"b3182_dacB_643_3329605_3329601_+"	"non-essential"	-3.99838774965937	7.63839859571676	257.683732757226	6.42741963777572e-07	3.30719955907369e-05
"b1812_pabB_551_1895355_1895343_-"	"essential_in_m9"	-2.96186167531934	7.96335927523171	255.521037994213	6.62134504521034e-07	3.36330372681069e-05
